iter	Passed	Remaining
669	5967	2939
670	5974	2929
671	5982	2920
672	5990	2910
673	5998	2901
674	6005	2891
675	6012	2881
676	6020	2872
677	6026	2862
678	6035	2853
679	6042	2843
680	6050	2834
681	6057	2824
682	6066	2815
683	6073	2805
684	6080	2796
685	6088	2786
686	6095	2777
687	6102	2767
688	6109	2757
689	6117	2748
690	6124	2738
691	6132	2729
692	6139	2719
693	6147	2710
694	6153	2700
695	6161	2691
696	6168	2681
697	6175	2671
698	6184	2663
699	6191	2653
700	6199	2644
701	6205	2634
702	6213	2625
703	6220	2615
704	6228	2606
705	6235	2596
706	6242	2587
707	6249	2577
708	6256	2567
709	6264	2558
710	6271	2549
711	6280	2540
712	6287	2530
713	6297	2522
714	6304	2512
715	6313	2504
716	6320	2494
717	6328	2485
718	6336	2476
719	6344	2467
720	6351	2457
721	6358	2448
722	6365	2438
723	6372	2429
724	6380	2420
725	6387	2410
726	6395	2401
727	6403	2392
728	6411	2383
729	6418	2373
730	6425	2364
731	6432	2355
732	6440	2346
733	6448	2336
734	6456	2327
735	6463	2318
736	6470	2308
737	6478	2299
738	6485	2290
739	6493	2281
740	6500	2272
741	6510	2263
742	6517	2254
743	6524	2245
744	6531	2235
745	6539	2226
746	6547	2217
747	6555	2208
748	6562	2199
749	6571	2190
750	6644	2202
751	6651	2193
752	6663	2185
753	6678	2178
754	6686	2169
755	6696	2161
756	6705	2152
757	6713	2143
758	6721	2134
759	6729	2124
760	6736	2115
761	6744	2106
762	6750	2096
763	6759	2087
764	6765	2078
765	6773	2069
766	6780	2059
767	6789	2051
768	6797	2041
769	6804	2032
770	6812	2023
771	6820	2014
772	6827	2004
773	6835	1996
774	6843	1986
775	6849	1977
776	6857	1968
777	6864	1958
778	6872	1949
779	6879	1940
780	6887	1931
781	6893	1921
782	6901	1912
783	6909	1903
784	6916	1894
785	6923	1885
786	6930	1875
787	6938	1866
788	6945	1857
789	6952	1848
790	6960	1838
791	6967	1829
792	6974	1820
793	6981	1811
794	6989	1802
795	6996	1793
796	7004	1784
797	7011	1774
798	7019	1765
799	7027	1756
800	7035	1747
801	7043	1738
802	7050	1729
803	7057	1720
804	7065	1711
805	7072	1702
806	7079	1693
807	7087	1684
808	7094	1674
809	7103	1666
810	7110	1657
811	7118	1648
812	7126	1639
813	7135	1630
814	7141	1621
815	7150	1612
816	7158	1603
817	7166	1594
818	7173	1585
819	7181	1576
820	7188	1567
821	7194	1557
822	7202	1549
823	7209	1539
824	7218	1531
825	7226	1522
826	7235	1513
827	7243	1504
828	7251	1495
829	7258	1486
830	7267	1477
831	7273	1468
832	7281	1459
833	7289	1450
834	7297	1442
835	7304	1432
836	7314	1424
837	7322	1415
838	7332	1407
839	7340	1398
840	7350	1389
841	7358	1380
842	7367	1372
843	7374	1363
844	7384	1354
845	7391	1345
846	7399	1336
847	7407	1327
848	7416	1319
849	7424	1310
850	7433	1301
851	7443	1292
852	7452	1284
853	7462	1275
854	7470	1266
855	7480	1258
856	7489	1249
857	7501	1241
858	7508	1232
859	7517	1223
860	7525	1214
861	7534	1206
862	7543	1197
863	7551	1188
864	7559	1179
865	7567	1170
866	7576	1162
867	7583	1153
868	7592	1144
869	7599	1135
870	7608	1126
871	7616	1118
872	7627	1109
873	7634	1100
874	7643	1091
875	7651	1083
876	7660	1074
877	7667	1065
878	7676	1056
879	7683	1047
880	7693	1039
881	7700	1030
882	7709	1021
883	7717	1012
884	7728	1004
885	7736	995
886	7747	986
887	7756	978
888	7764	969
889	7775	960
890	7782	952
891	7791	943
892	7801	934
893	7811	926
894	7824	917
895	7834	909
896	7848	901
897	7863	893
898	7878	885
899	7890	876
900	7901	868
901	7914	859
902	7931	851
903	7945	843
904	7960	835
905	7974	827
906	7985	818
907	7997	810
908	8011	802
909	8028	793
910	8042	785
911	8053	777
912	8063	768
913	8077	759
914	8089	751
915	8100	742
916	8112	734
917	8126	725
918	8139	717
919	8148	708
920	8160	699
921	8174	691
922	8187	683
923	8197	674
924	8209	665
925	8222	657
926	8235	648
927	8243	639
928	8257	631
929	8271	622
930	8285	614
931	8292	605
932	8307	596
933	8319	587
934	8328	578
935	8338	570
936	8350	561
937	8358	552
938	8371	543
939	8386	535
940	8402	526
941	8418	518
942	8435	509
943	8447	501
944	8456	492
945	8470	483
946	8484	474
947	8496	466
948	8504	457
949	8515	448
950	8530	439
951	8539	430
952	8552	421
953	8565	412
954	8576	404
955	8588	395
956	8604	386
957	8619	377
958	8635	369
959	8651	360
960	8663	351
961	8680	342
962	8696	334
963	8715	325
964	8728	316
965	8740	307
966	8752	298
967	8766	289
968	8778	280
969	8793	271
970	8805	262
971	8817	254
972	8832	245
973	8845	236
974	8858	227
975	8873	218
976	8885	209
977	8899	200
978	8913	191
979	8925	182
980	8936	173
981	8948	164
982	8961	154
983	8973	145
984	8983	136
985	8997	127
986	9013	118
987	9024	109
988	9034	100
989	9045	91
990	9057	82
991	9067	73
992	9078	64
993	9091	54
994	9100	45
995	9110	36
996	9121	27
997	9129	18
998	9137	9
999	9143	0
